Nom du lieu,Discipline,Offre,Avantage tarifaire / service,Type d'avantage,Adresse,Commune,Latitude,Longitude,Color
Auditorium Gérard Grisey du Conservatoire,Musique,Offre tarif réduit Navigo Culture sur tous les spectacles aux tarifs saison culturelle pour le détenteur + Cercle Navigo pour un accompagnateur,Avantage tarifaire,"Tarif réduit,Tarif réduit accompagnant",2 Avenue Paul Langevin,Sarcelles,48.98147,2.37889,"[255, 0, 0]"
Centquatre104,Centre d'art | Théâtre | Danse | Musique,Tarif réduit sur toute la programmation,Avantage tarifaire,Tarif réduit,5 Rue Curial,Paris,48.88998494509567,2.371436480896419,"[255, 0, 0]"
Centre culturel cinéma Yves Montand,Cinéma,"Pour les porteurs du passe Navigo, accès au tarif individuel le plus avantageux pour les séances de cinéma et les spectacles. Pour les porteurs du passe Navigo disposant d'un abonnement ""Ma carte"", possibilité de faire bénéficier du tarif abonné à une tierce personne de leur choix.",Avantage tarifaire,"Tarif réduit,Tarif réduit accompagnant",36 Rue Eugène Masse,Livry-Gargan,48.92617414332353,2.5451053232822547,"[255, 0, 0]"
Centre des Arts Enghien les Bains,Centre d'art | Théâtre | Danse | Musique | Cinéma,"Les abonnés Navigo concernés ont accès au tarif réduit sur l’intégralité de la programmation (théâtre, cinéma, concert, festival compris). Offre valable en ligne ou en billetterie du centre et soumise à la présentation d’un justification Navigo.",Avantage tarifaire,Tarif réduit,12-16 Rue de la Libération,Enghien-les-Bains,48.58206,2.18215,"[255, 0, 0]"
Christine Cinéma Club,Cinéma,Tarif réduit sur la séance dans le cadre de la manifestation Avant-premières! (4-12 juillet),Avantage tarifaire,Tarif réduit,4 Rue Christine,Paris,48.85445991953715,2.3401510311934013,"[255, 0, 0]"
Cinéma Le Figuier Blanc,Cinéma,Mise en place des offres en cours. Voir sur le site web des 24 cinémas du Val d’Oise sur ecransvo.org,Inconnu,Inconnu,16-18 Rue Grégoire Collas,Argenteuil,48.9434486774851,2.247625937973974,"[192, 192, 192]"
Cinéma Le Palace,Cinéma,Mise en place des offres en cours. Voir sur le site web des 24 cinémas du Val d’Oise sur ecransvo.org,Inconnu,Inconnu,6 Avenue Anatole-France,Beaumont-sur-Oise,49.14147581978576,2.2830305650512375,"[192, 192, 192]"
Cinéma le Sélect,Cinéma,Tarif réduit sur les animations et soirées débats (hors retransmission en direct) pour détenteur du passe Navigo,Avantage tarifaire,Tarif réduit,10 Avenue de la Division Leclerc,Antony,48.75301420517611,2.30474681626314,"[255, 0, 0]"
Cinéma Louis Daquin,Cinéma,"Tarif réduit de 5€ pour les détenteur du passe au lieu de 6,50€",Avantage tarifaire,Tarif réduit,11 Avenue de la République,Le Blanc-Mesnil,48.9379789314027,2.462266922466314,"[255, 0, 0]"
Ecole d'art Janine Haddad,Centre d'art,"Offre tarif réduit stages, rencontres privilégiées avec les artistes exposants. Vernissages d'exposition.",Avantage tarifaire et service,"Tarif réduit,Invitation aux vernissages,Rencontre d'artistes",5 Route de Garges,Sarcelles,48.99106,2.37509,"[0, 9, 255]"
Espace culturel Alain-Poher - Salle Charles Chaplin,Cinéma,Tarif réduit sur des séances du festival Ciné junior et sur des séances évènementielles,Avantage tarifaire,Tarif réduit,7 Avenue Auguste Duru,Ablon-sur-Seine,48.724248997983004,2.4202751135219396,"[255, 0, 0]"
Espace des Arts - Salle Philippe Noiret,Cinéma,Tarif réduit sur certains évènements cinéma,Avantage tarifaire,Tarif réduit,144 Avenue Jean Jaurès,Les Pavillons-sous-Bois,48.90266491270613,2.506641478292648,"[255, 0, 0]"
Festival De Saint Denis - 2 au 27 juin 2023,Musique,Offre à venir pour la prochaine édition du festival.,Avantage tarifaire,Tarif réduit,16 Rue de la Légion d'Honneur,Saint-Denis,48.93474358838495,2.3581760114004124,"[255, 0, 0]"
Festival des 2 Rivières - 16 au 18 juin 2023,Musique,Offre à venir pour la prochaine édition du festival.,Avantage tarifaire,Tarif réduit,Espace des 2 Rivières,La Ferté-sous-Jouarre,48.94526125632563,3.123356938412617,"[255, 0, 0]"
Festival Jazz au Fil de l'Oise - 23 septembre au 10 décembre 2023,Musique,"Aux détenteurs d’un abonnement Navigo et à leur accompagnant, Tarif Réduit sur toute la programmation (sauf La Grande Table le 25 nov). Le Festival étant itinérant, le tarif est variable selon le concert et sa localisation.",Avantage tarifaire,"Tarif réduit,Tarif réduit accompagnant",Place de la paix,Pontoise,49.05956022042457,2.0895567153438246,"[255, 0, 0]"
Festival Mama - 11 au 13 octobre 2023,Musique,"Les abonnés Navigo bénéficient du tarif réduit à 22€ sur toute la programmation du festival, dans la limite de 40 places par jour. Réservation sur la billetterie dédiée : https://widget.weezevent.com/ticket/3de3fa44-d80d-4082-9503-962f90e8a6cb",Avantage tarifaire,Tarif réduit,98 Boulevard Marguerite de Rochechouart,Paris,48.882416,2.341814,"[255, 0, 0]"
Festival Solidays,Musique,Offre à venir pour la prochaine édition du festival.,Avantage tarifaire,Tarif réduit,Route de Sèvres à Neuilly,Paris,48.85878751058443,2.2296233802853993,"[255, 0, 0]"
Galéria Continua,Centre d'art,Visite guidée gratuite,Avantage service,Visite guidée gratuite,87 Rue du Temple,Paris,48.86184881215512,2.35656588037768,"[0, 255, 26]"
Institut du Monde Arabe,Musée,"Tarif réduit pour l’abonné Navigo sur l’entrée au musée, les expositions et les spectacles. Tarif réduit pour l’accompagnant de l’abonné Navigo si - 26 ans ou demandeur d’emploi ou bénéficiaire du RSA.
Pour les -26 ans, l'exposition « Ce que la Palestine apporte au monde » et le musée sont gratuits tout l'été.",Avantage tarifaire,"Tarif réduit,Tarif réduit accompagnant",1 Rue des Fossés Saint-Bernard,Paris,48.849074,2.356759,"[255, 0, 0]"
Insula orchestra et les artistes invités,Musique,Tarif réduit PUBLIC dans la limite de 100 places + Tarif réduit JEUNES 10€ concerts saison,Avantage tarifaire,Tarif réduit,1 Île Seguin,Boulogne-Billancourt,48.82669591685265,2.22865723441985,"[255, 0, 0]"
L’Ecran,Cinéma,Tarif réduit sur certains évènements cinéma,Avantage tarifaire,Tarif réduit,Place du Caquet,Saint-Denis,48.93674294060646,2.3591015446699166,"[255, 0, 0]"
La Pop - Peniche Opera - Compagnie Lyrique Nationale,Musique,Tarif de 12€ au bénéficiaires des minima sociaux et 10€ au adhérents même tarif accompagnants,Avantage tarifaire,"Tarif réduit,Tarif réduit accompagnant",61 Quai de la Seine,Paris,48.88716294949734,2.3762433000795418,"[255, 0, 0]"
La Scala Paris,Théâtre | Musique,"Tarif Navigo culture, accès au tarif réduit sur tous les spectacles. Cercle, accès au tarif réduit sur tous les spectacles pour une 2e personne.",Avantage tarifaire,"Tarif réduit,Tarif réduit accompagnant",13 Bd de Strasbourg,Paris,48.870270013558304,2.3545497057132794,"[255, 0, 0]"
L'Archipel,Cinéma,Offre en cours d'élaboration.,Avantage tarifaire,Tarif réduit,17 Boulevard de Strasbourg,Paris,48.87046992825714,2.3546581776106303,"[255, 0, 0]"
Le Mouffetard - Théâtre Des Arts de la Marionnette,Théâtre,Tarifs réduits,Avantage tarifaire,Tarif réduit,73 Rue Mouffetard,Paris,48.84227606460468,2.3503216277180576,"[255, 0, 0]"
Le Studio,Cinéma,Tarif réduit de la salle pour les détenteurs du Pass Navigo pour toutes les séances d’Arthur Rambo de Laurent Cantet,Avantage tarifaire,Tarif réduit,2 Rue Edouard Poisson,Aubervilliers,48.91078053555589,2.3835843740447014,"[255, 0, 0]"
L'Entrepot,Cinéma,Offre en cours d'élaboration.,Avantage tarifaire,Tarif réduit,7-9 Rue Francis-de-Pressense,Paris,48.83392151828622,2.316569419972312,"[255, 0, 0]"
Les Cinoches - Desnos,Cinéma,Offre ponctuelle et tarif reduit sur les salles adhérentes,Avantage tarifaire,Tarif réduit,Allée Jean Ferrat,Ris-Orangis,48.64691500738956,2.402668929913438,"[255, 0, 0]"
L'Escurial,Cinéma,Offre en cours d'élaboration.,Avantage tarifaire,Tarif réduit,11 Boulevard de Port Royal,Paris,48.836812325776,2.3495914611050965,"[255, 0, 0]"
L'onde,Danse,Tarif réduit 18€ sur les spectacles de danse,Avantage tarifaire,Tarif réduit,8 bis Avenue Louis Breguet,Vélizy-Villacoublay,48.78279510833272,2.178509353158535,"[255, 0, 0]"
Maison De La Poésie,Centre d'art,"Offre de cartes jeunes aux premiers inscrits (100 cartes à gagner) avec le code ""MDP""",Avantage tarifaire,Tarif réduit,157 Rue Saint-Martin,Paris,48.86229832608158,2.351911675217585,"[255, 0, 0]"
Maison Jean Cocteau,Musée,"Le tarif Navigo Culture équivaut au tarif réduit, soit 6,50€, pour visite libre. Le tarif Navigo Culture équivaut au tarif réduit, soit 6,50€, pour assister à un évènement.",Avantage tarifaire,Tarif réduit,15 Rue du Lau,Milly-la-Forêt,48.40234270866434,2.46487782795243,"[255, 0, 0]"
Majestic Bastille,Cinéma,Offre en cours d'élaboration.,Avantage tarifaire,Tarif réduit,4 Boulevard Richard Lenoir,Paris,48.85404756378292,2.369977442850605,"[255, 0, 0]"
Majestic Passy,Cinéma,Tarif réduit sur la séance dans le cadre de la manifestation Avant-premières! (4-12 juillet),Avantage tarifaire,Tarif réduit,18-20 Rue de Passy,Paris,48.85825436626518,2.282280975667707,"[255, 0, 0]"
Musée Clemenceau,Musée,"Tarif réduit avantages culture à 3€, tous les mercredis. Achats de billets sur place, auprès de l’établissement.",Avantage tarifaire,Tarif réduit,8 Rue Benjamin Franklin,Paris,48.85918766200694,2.285112552664806,"[255, 0, 0]"
Musée De Montmartre,Musée,"Billet au tarif réduit de 11€ et accès au musée : collections pemanentes, expo temporaire, jardins + offres ponctuelles",Avantage tarifaire,Tarif réduit,12 Rue Cortot,Paris,48.88771756103743,2.3406672185262205,"[255, 0, 0]"
Musée Départemental Stephane Mallarmé,Musée,Meilleurs tarifs sur les visites et évènements temporaires,Avantage tarifaire,Tarif réduit,4 Quai Stéphane Mallarmé,Vulaines-sur-Seine,48.43119725787054,2.7467545089838024,"[255, 0, 0]"
Musée Des Arts Et Métiers - Cnam,Musée,"Tarif réduit pour le porteur du passe Navigo et son accompagnateur, sur le billet d'accès au musée (comprenant une entrée aux expositions permanentes et temporaires), uniquement en période d’exposition temporaire.",Avantage tarifaire,"Tarif réduit,Tarif réduit accompagnant",60 Rue Réaumur,Paris,48.86664785944594,2.3554302647423095,"[255, 0, 0]"
Musée D'histoire Urbaine Et Sociale De Suresnes,Musée,Tarif réduit,Avantage tarifaire,Tarif réduit,1 Place de la Gare de Suresnes Longchamp,Suresnes,48.868193262847726,2.221617753118261,"[255, 0, 0]"
Musée Du Jouet de Poissy,Musée,Tarif réduit,Avantage tarifaire,Tarif réduit,1 Enclos de l'Abbaye,Poissy,48.928658155506064,2.0378918076875068,"[255, 0, 0]"
Musée Intercommunal De Nogent-Sur-Marne,Musée,"Tarif réduit sur visite commentée au choix expo permanente bords de Marne ou expo permanente groupe de 8 personnes, sur rendez-vous",Avantage tarifaire,Tarif réduit,36 Boulevard Gallieni,Nogent-sur-Marne,48.8402586,2.4843277,"[255, 0, 0]"
Musée Jean Jacques Rousseau,Musée,Tarif réduit aux personnes accompagnant le visiteur détenteur du passe Navigo qui bénéficie d'un tarif réduit ou gratuit au Musée Jean-Jacques Rousseau + une réduction de 5% à la boutique du musée pour ces deux mêmes visiteurs,Avantage tarifaire et service,"Tarif réduit accompagnant,Réduction en librairie",5 Rue Jean-Jacques Rousseau,Montmorency,48.98687254442382,2.3214838320020315,"[0, 9, 255]"
Opéra National De Paris Garnier,Patrimoine,Tarif réduit sur visite libre du Palais : 8€ au lieu de 12€ 10€ au lieu de 14€ en periode d'exposition,Avantage tarifaire,Inconnu,Place de l'Opéra,Paris,48.871976016554676,2.331589385216893,"[255, 0, 0]"
Scène Nationale De L’Essonne - Théâtre de l'Agora,Théâtre | Musique | Danse,"Tarif réduit à 10€ pour les abonnés Navigo, même réduction pour l'accompagnant de l'abonné Navigo, si ce dernier bénéficie déjà du tarif réduit par ailleurs.",Avantage tarifaire,"Tarif réduit,Tarif réduit accompagnant",Place des Terrasses de l'Agora,Évry,48.628780846483295,2.4293080994818546,"[255, 0, 0]"
Théâtre des Bouffes du Nord,Théâtre | Musique | Danse,Tarif réduit valable sur une séléction des spectacles de la saison,Avantage tarifaire,Tarif réduit,37 bis Boulevard de la Chapelle,Paris,48.88419286087166,2.358905435735804,"[255, 0, 0]"
Théâtre du Châtelet,Théâtre | Musique | Danse,Tarif réduit sur une sélection de spectacles et catégories de places dans la limite du quota dispo,Avantage tarifaire,Tarif réduit,1 Place du Châtelet,Paris,48.85773014911509,2.346311706587581,"[255, 0, 0]"
Théâtre Jean Arp De Clamart,Théâtre | Musique | Danse,Tarif réduit 12 €,Avantage tarifaire,Tarif réduit,22 Rue Paul Vaillant Couturier,Clamart,48.80261394234931,2.2639340220311697,"[255, 0, 0]"
Théâtre Les Bords De Scènes,Théâtre | Musique | Danse,Tarif réduit ou très réduit pour les 18-25 ans  sur une sélection de spectacles,Avantage tarifaire,Tarif réduit,Place du Maréchal Leclerc,Juvisy-sur-Orge,48.69075802371344,2.376542076522815,"[255, 0, 0]"
Théâtre Paul Éluard,Cinéma,Mise en place des offres en cours. Voir sur le site web des 24 cinémas du Val d’Oise sur ecransvo.org,Inconnu,Inconnu,162 Rue Maurice Berteaux,Bezons,48.93116707244955,2.207327511863523,"[192, 192, 192]"
Théâtre de la vallée,Théâtre,Les abonnés Navigo bénéficient du tarif réduit sur toutes les représentations des Vendredis de la Grange et du tarif abonné sur tous les Goûters-théâtre. Offre valable en ligne ou par téléphone au 01 34 04 03 41. Un justificatif Navigo pourra vous être demandé le jour de la représentation. Pour connaître la programmation : https://www.theatredelavallee.fr/programmation/,Avantage tarifaire,Tarif réduit,14 avenue du Maréchal Foch,Ecouen,49.0185066,2.3782076,"[255, 0, 0]"
Centre Culturel Picasso,Cinéma,Mise en place des offres en cours. Voir sur le site web des 24 cinémas du Val d’Oise sur ecransvo.org,Avantage tarifaire,Inconnu,Rue Guy de Maupassan,Montigny-lès-Cormeilles,48.996179046129456,2.199623879176709,"[255, 0, 0]"
Château de Vincennes - Centre des Monuments Nationaux (CMN),Patrimoine | Jardin,Tarif spécial sur billet simple,Avantage tarifaire,Tarif réduit,Avenue de Paris,Vincennes,48.84257060649695,2.435488134268473,"[255, 0, 0]"
Château Musée De Nemours,Patrimoine | Jardin | Musée,Tarif 3€ visite libre et 5€ visite guidée et même offre pour accompagnant détenteur,Avantage tarifaire,"Tarif réduit,Tarif réduit accompagnant",1 Rue Gautier 1er,Nemours,48.2655349951679,2.6971006698387825,"[255, 0, 0]"
Cinéma Apollo,Cinéma,Tarif réduit de la salle pour les détenteurs du Pass Navigo pour toutes les séances d’Arthur Rambo de Laurent Cantet,Avantage tarifaire,Tarif réduit,62 Avenue de la République,Pontault-Combault,48.803459370942065,2.6112914772402656,"[255, 0, 0]"
Cinéma Arcel,Cinéma,Offre ponctuelle et tarif reduit sur les salles adhérentes,Avantage tarifaire,Tarif réduit,15 Place Léon Casse,Corbeil-Essonnes,48.6039224336556,2.4690267424011303,"[255, 0, 0]"
Cinéma l’Antarès,Cinéma,Mise en place des offres en cours. Voir sur le site web des 24 cinémas du Val d’Oise sur ecransvo.org,Inconnu,Inconnu,1 Place du Cœur Battant,Vauréal,49.02992809571022,2.0214408158694823,"[192, 192, 192]"
Cinéma Le Forum,Cinéma,Tarif réduit sur des séances du festival Ciné junior et sur des séances évènementielles,Avantage tarifaire,Tarif réduit,Place du Forum,Boissy-Saint-Léger,48.75411832000789,2.501963918159903,"[255, 0, 0]"
Cinéma Le Kosmos,Cinéma,Tarif réduit de la salle pour les détenteurs du Pass Navigo pour toutes les séances d’Arthur Rambo de Laurent Cantet,Avantage tarifaire,Tarif réduit,243 ter Avenue de la République,Fontenay-sous-Bois,48.85282157542318,2.467694948497047,"[255, 0, 0]"
Cinéma Le Lavoir numérique,Cinéma,Tarif réduit sur des séances du festival Ciné junior et sur des séances évènementielles,Avantage tarifaire,Tarif réduit,4 Rue de Freiberg,Gentilly,48.815626909922166,2.3462875788186746,"[255, 0, 0]"
Cinéma Les Toiles,Cinéma,Tarif réduit de la salle pour les détenteurs du Pass Navigo pour toutes les séances d’Arthur Rambo de Laurent Cantet,Avantage tarifaire,Tarif réduit,Place François Truffaut,Saint-Gratien,48.967627035604565,2.286207482538227,"[255, 0, 0]"
Cinemas Du Palais,Cinéma,"Sur présentation d’un passe Navigo valide en caisse, est proposé un tarif de 5€ sur les séances événements des Cinémas du Palais : séances avec invités, animés, avec ateliers, à raison, en moyenne de deux événements par semaine, sur toute l’année, pour tous les âges. Hors séances opéra au cinéma",Avantage tarifaire,Tarif réduit,40 Allée Parmentier,Créteil,48.78615201522536,2.444113889108566,"[255, 0, 0]"
Cinépal',Cinéma,Offre ponctuelle et tarif réduit sur les salles adhérentes,Avantage tarifaire,Tarif réduit,10 Avenue du 8 mai 1945,Palaiseau,48.71209067095574,2.245049417146636,"[255, 0, 0]"
Cité de la musique-Philharmonie de Paris,Musée,Tarif réduit pour le Musée et pour les expos de la Cité de la musique - Philharmonie de Paris,Avantage tarifaire,Tarif réduit,221 Avenue Jean Jaurès,Paris,48.8912979983968,2.3942890320937256,"[255, 0, 0]"
Cité de l'architecture et du patrimoine,Musée,"Pour les abonnés Navigo, accès au tarif réduit de 6€ au lieu de 9€ pour le musée et de 9€ au lieu de 12€ pour les expositions temporaires. Offre valable sur présentation du passe Navigo en billetterie du musée.",Avantage tarifaire,Tarif réduit,1 Place du Trocadéro et du 11 Novembre,Paris,48.862544,2.287769,"[255, 0, 0]"
Citéco - Cité de l'Économie,Musée,"Pour les abonnés Navigo et à leur accompagnateur, tarif réduit sur les collections permanentes. Pour les abonnés imagine R, tarif très réduit à 6€ sur les collections permanentes. Offre valable sur la billetterie en ligne et en billetterie physique, sur présentation d’un justificatif.",Avantage tarifaire,"Tarif réduit,Tarif réduit accompagnant",1 Place du Général Catroux,Paris,48.88195788046292,2.310690240101099,"[255, 0, 0]"
Club de l'Étoile,Cinéma,Tarif réduit sur la séance dans le cadre de la manifestation Avant-premières! (4-12 juillet),Avantage tarifaire,Tarif réduit,14 Rue Troyon,Paris,48.87615844053561,2.2953697331533656,"[255, 0, 0]"
Ecoles cinéma club,Cinéma,Offre en cours d'élaboration.,Avantage tarifaire,Tarif réduit,23 Rue des Ecoles,Paris,48.84838163360664,2.3489922614240033,"[255, 0, 0]"
Epée de Bois,Cinéma,Offre en cours d'élaboration.,Avantage tarifaire,Tarif réduit,100 Rue Mouffetard,Paris,48.841281880832064,2.3495507388020167,"[255, 0, 0]"
Espace Daniel Sorano,Cinéma,Tarif réduit sur des séances du festival Ciné junior et sur des séances évènementielles,Avantage tarifaire,Tarif réduit,16 Rue Charles Pathé,Vincennes,48.849676847263765,2.4356829849556454,"[255, 0, 0]"
Festival D'automne à Paris - 7 septembre 2023 au 30 janvier 2024,Théâtre | Danse | Musique | Centre d'art,"Aux détenteurs d’un abonnement Navigo, le Festival d’Automne propose, sur l’intégralité du programme de l’édition 2023, soit 82 manifestations dans 73 lieux de Paris et d’Île-de-France, 4 000 places à tarif réduit sur les billets plein tarif individuel, hors abonnement et tarifs spécifiques Pour toute information, se reporter au programme en ligne du festival https://www.festival-automne.com/programme",Avantage tarifaire,Tarif réduit,156 Rue de Rivoli,Paris,48.86111960996346,2.3407522653209876,"[255, 0, 0]"
Festival Rock-En-Seine - 23 au 27 août 2023,Musique,Offre à venir pour la prochaine édition du festival.,Avantage tarifaire,Tarif réduit,1 Avenue de la Grille d'Honneur,Saint-Cloud,48.83784558374058,2.2170298216975897,"[255, 0, 0]"
L’Orange Bleue,Cinéma,Mise en place des offres en cours. Voir sur le site web des 24 cinémas du Val d’Oise sur ecransvo.org,Inconnu,Inconnu,7 Rue Jean Mermoz,Eaubonne,48.992754754253326,2.278078560284024,"[192, 192, 192]"
La Briqueterie Cdndu Val De Marne,Danse,Boisson chaude offerte au bar,Avantage service,Service exclusif,17 Rue Robert Degert,Vitry-sur-Seine,48.80549120077984,2.3749973822073196,"[0, 255, 26]"
La Luciole,Cinéma,Mise en place des offres en cours. Voir sur le site web des 24 cinémas du Val d’Oise sur ecransvo.org,Inconnu,Inconnu,1 Route de Pontoise,Méry-sur-Oise,49.06045758400877,2.171194477745079,"[192, 192, 192]"
Le Cin’Hoche,Cinéma,Tarif réduit sur certains évènements cinéma,Avantage tarifaire,Tarif réduit,6 Rue Hoche,Bagnolet,48.86928480214116,2.417076452979118,"[255, 0, 0]"
Le Crédac,Centre d'art,Tarif réduit à la Crédacantine (Visite de l'exposition et déjeuner),Avantage tarifaire,Tarif réduit,1 Place Pierre Gosnat,Ivry-sur-Seine,48.80934467604506,2.391028228670551,"[255, 0, 0]"
Le Forum de Vauréal,Musique,Tarif réduit pour les détenteurs du passe Navigo de 2€ soustraits au prix de la prévente pour chaque concert,Avantage tarifaire,Tarif réduit,95 Boulevard de l'Oise,Vauréal,49.03108149612531,2.021977839033422,"[255, 0, 0]"
Le Trianon,Cinéma,Tarif réduit sur certains évènements cinéma,Avantage tarifaire,Tarif réduit,Place Carnot,Romainville,48.88396044441015,2.4409812301304754,"[255, 0, 0]"
Les 5 Caumartin,Cinéma,Tarif réduit sur la séance dans le cadre de la manifestation Avant-premières! (4-12 juillet),Avantage tarifaire,Tarif réduit,101 Rue Saint-Lazare,Paris,48.87561479368591,2.3279187656315083,"[255, 0, 0]"
Maison Caillebotte - Ville de Yerres,Musée | Jardin,Tarif Navigo culture = 10€ (Visite Maison + expo en cours) Tarif Navigo culture = 6€ (Visite Maison seule),Avantage tarifaire,Tarif réduit,60 Rue Charles de Gaulle,Yerres,48.71700977569681,2.4880484279427044,"[255, 0, 0]"
